TERYT Powiatu,Powiat,Bezpartyjni,TD,Lewica,PiS,Konfederacja,KO
146200,Płock,1.7655751730574785,17.627751419460218,7.757641751575017,34.924165824064715,5.360504005600062,32.56436182624252
146100,Ostrołęka,1.6192476608745465,15.596715676914263,7.1109413786519,41.81401565781936,7.802176818789383,26.056902806950543
143800,żyrardowski,2.588732952918108,14.908898631827094,9.191654365595188,36.37885831368834,6.880521712309149,30.05133402366212
143700,żuromiński,1.1405037224774275,19.12455779080205,11.737684143830192,49.13142193357622,5.470193780030624,13.395638629283487
143600,zwoleński,1.9320453031312457,15.217632689318233,5.435265378636465,57.073062402842545,7.722629358205641,12.619364867865867
143500,wyszkowski,1.8644027490428288,20.322941190459204,4.701433973032746,46.541104848873985,8.292311716724928,18.277805521866306
143400,wołomiński,2.8353879622915157,14.439976267387436,6.873228294548092,38.40002636956952,8.139626870591337,29.311754235612103
143300,węgrowski,1.649770865157617,14.286904596583808,4.341063741147063,54.68962644077211,7.968337730870713,17.064296625468685
143200,warszawski zachodni,2.0609066966682863,14.551637730445677,7.220844306937021,29.67986908384259,6.999667595694086,39.487074586412334
143000,szydłowiecki,1.825091254562728,10.48052402620131,4.070203510175509,57.32286614330716,8.565428271413571,17.735886794339716
142900,sokołowski,1.4398039415909323,17.185744919840705,3.5399434970557198,54.8521052452432,8.478845433813268,14.503556962456177
142800,sochaczewski,2.4298440048513235,20.080715988457197,5.909414077202961,41.4516331395592,6.913136213458242,23.21525657647108
142700,sierpecki,1.8694174373567307,19.389771559560508,5.608252312070192,50.63631333491424,6.825547387558297,15.670697968540036
142600,siedlecki,2.1801931931028258,13.37455989888959,3.6539676807799943,59.54906563148867,10.034305317324185,11.207908278414733
142500,radomski,2.13533205336484,12.146162555998622,4.44542903559297,56.38507359818835,8.223797568059863,16.664205188795354
142400,pułtuski,1.2951167728237793,20.46001415428167,5.785562632696391,46.847133757961785,7.689313517338996,17.922859164897382
142300,przysuski,1.258794608798847,13.164363821310502,3.5475120793422055,65.0377214546071,6.989065016529626,10.002543019411716
142200,przasnyski,1.7238677323303557,13.947657107036516,4.9365303244005645,53.11471556182417,7.443974298699263,18.83325497570914
